pe_ref_in_enseigne,pe_id,p_id_cat
4974,413931,1481E
18783,413932,3859F
18012,413933,431D
11848,413934,55D
17622,413935,106F
6387,413936,3017F
4425,413937,2043E
6809,413939,546F
14874,413940,1891E
2595,413941,205D
25257,413942,202D
2509,413943,560D
2481,413944,1566E
5412,413946,4477F
8603,413947,219D
5053,413948,3396F
26087,413949,4095F
3758,413950,3389F
5558,413951,1898E
3369,413952,3855F
8745,413953,706E
20476,413954,219D
3149,413955,3399F
19407,413956,359E
3161,413957,288D
5719,413958,584D
3729,413959,4130F
259,413960,3293F
20130,413961,253D
9048,413962,730E
19520,413963,99D
6320,413964,4451F
5409,413965,3306F
183,413967,1450E
169,413968,4355F
30065,413969,1369E
8784,413970,4120F
2149,413971,1932E
167,413972,4367F
25022,413973,4125F
7675,413974,304D
521,413975,3933F
5656,413976,4076F
2755,413977,706E
1438,413978,462D
3059,413979,1566E
3769,413980,3378F
6781,413981,1368E
5441,413982,4127F
474,413983,1429E
17778,413984,4140F
5325,413985,2103E
23855,413986,659E
25375,413987,359E
3073,413988,3131F
22862,413989,227D
2005,413990,551E
7489,413991,3967F
519,413992,3933F
5642,413993,291D
929,413994,663E
2180,413995,1868E
228,413996,1558E
6796,413997,1368E
18606,413998,4082F
3110,413999,1431E
332,414000,187D
6151,414001,3502F
1920,414002,4487F
227,414003,1558E
3871,414004,183D
5076,414005,1350E
2359,414006,1790E
30708,414007,431D
9215,414008,304D
25010,414009,1866E
4542,414010,477D
3511,414011,1355E
26713,414012,3889F
23672,414013,4135F
26834,414014,237F
19887,414015,664E
15626,414016,301D
28743,414017,1868E
4066,414018,220D
27113,414019,1789E
16284,414020,1998E
15899,414021,510D
20724,414022,236D
430,414023,154D
8813,414024,4068F
29412,414025,3410F
5362,414026,
24587,414027,489D
16061,414028,4358F
19900,414029,4395F
25506,414030,138E
17956,414031,4133F
26484,414032,3392F
4779,414033,4147F
73,414034,136D
5615,414035,1429E
8977,414036,190E
20756,414037,235D
2303,414038,3859F
1862,414039,1897E
25441,414040,4147F
23673,414041,4135F
5492,414042,4341F
22464,414043,1327E
2210,414045,
542,414046,3939F
2986,414047,4087F
3121,414048,4127F
27512,414050,3369F
763,414051,1482E
3963,414052,2025E
1090,414053,297D
7895,414054,1914E
17865,414055,4139F
535,414056,1897E
2091,414057,1499E
3800,414058,301D
19264,414059,123D
8055,414060,485D
24069,414061,3271F
30757,414062,14D
5772,414063,2023E
17969,414064,4132F
26469,414065,523E
9031,414067,1528E
20649,414068,3859F
3119,414069,4130F
51,414070,2152E
1925,414071,558D
767,414072,1483E
3534,414073,360E
5601,414074,3391F
2651,414075,215D
30619,414077,289D
5411,414078,97D
7785,414079,4127F
14404,414080,238D
30037,414081,1103E
673,414082,437E
3668,414083,4069F
25259,414084,3132F
20397,414086,270D
11919,414087,212E
25956,414088,1105E
3568,414089,3306F
2787,414090,450E
15102,414091,238D
5413,414092,477D
5419,414093,1871E
26300,414094,90D
9029,414095,348D
2842,414096,177D
9095,414097,1850E
8988,414098,1914E
473,414099,1428E
836,414101,4175F
24296,414102,3306F
1250,414103,2038E
26201,414104,1351E
6326,414105,270D
63,414106,105D
2086,414107,
2735,414108,205D
748,414109,1480E
14969,414110,1103E
196,414111,3502F
5322,414113,120D
5410,414114,3306F
8397,414115,4636F
15860,414116,3857F
951,414117,1913E
27135,414118,4082F
426,414119,154D
18393,414120,1368E
12608,414121,3286F
14959,414122,220D
2008,414123,225D
23580,414124,4068F
3146,414125,564D
9136,414126,3017F
17587,414127,1307E
112,414128,3969F
24302,414129,510F
15952,414130,1939E
1982,414131,440E
2791,414132,19D
9021,414133,70E
24686,414134,510D
407,414135,3417F
6871,414136,295D
1932,414137,180D
30706,414138,438D
3924,414139,278D
1808,414140,1306E
1205,414141,237D
2593,414142,205D
22288,414143,3855F
1894,414144,2144E
26679,414145,4130F
2292,414146,3856F
23677,414147,1932E
2440,414148,3D
3717,414149,3391F
5421,414150,1789E
1355,414151,1892E
7420,414152,3937F
157,414153,85D
28881,414154,416D
23678,414155,1932E
27465,414156,670F
4620,414157,1417E
13424,414158,253D
14677,414159,198D
4427,414160,2043E
3101,414161,2015E
5481,414162,4040F
26893,414163,675F
22296,414164,3390F
2594,414165,205D
14452,414166,202D
802,414167,1494E
7071,414168,1931E
23057,414169,1295E
25449,414170,4149F
2548,414171,55D
21239,414172,1939E
1907,414173,90D
216,414174,1540E
24575,414176,1685E
12515,414177,3966F
24670,414178,247D
25786,414179,1554E
3709,414180,148D
3740,414182,180D
6496,414183,1450E
3360,414184,68E
2536,414185,2552F
1581,414186,4145F
24942,414187,4087F
13569,414188,281D
6999,414189,4145F
16291,414190,1368E
25416,414191,154D
19711,414192,3441F
25305,414193,202D
24986,414194,278D
26978,414195,1898E
26398,414196,211E
5231,414197,273D
7391,414198,3410F
928,414199,663E
26829,414200,1888E
6441,414201,3941F
12234,414202,350D
3103,414203,3879F
18383,414204,1367E
2066,414205,227D
84,414206,3306F
13440,414207,4132F
14675,414208,4481F
874,414209,4085F
6089,414210,4347F
18102,414211,4124F
19098,414212,191D
25090,414213,4091F
25757,414214,177D
2764,414215,4108F
1780,414216,450E
1037,414217,2133F
15384,414218,304D
2846,414219,2035E
16781,414220,212D
1340,414221,14D
1328,414222,1262F
